id,name,artist,album,uri,image_url,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_id
7eXefSw0omrWAzAj9bPHdg,Are You Lonesome Like Me?,The Feminine Complex,Livin' Love,spotify:track:7eXefSw0omrWAzAj9bPHdg,https://i.scdn.co/image/ab67616d0000b2732e577adef0cafa4494bda062,https://open.spotify.com/track/7eXefSw0omrWAzAj9bPHdg,0.512,0.299,C,-15.861,Major,0.0253,0.884,0.000852,0.245,0.515,89.801,7eXefSw0omrWAzAj9bPHdg
4ec8GWlm1SgbbyoDryEW9g,I Want To Lay With You,Shira Small,The Line Of Time And The Plane Of Now,spotify:track:4ec8GWlm1SgbbyoDryEW9g,https://i.scdn.co/image/ab67616d0000b273d7472cb2c5c09b780c23bf16,https://open.spotify.com/track/4ec8GWlm1SgbbyoDryEW9g,0.833,0.429,A,-12.304,Minor,0.0385,0.662,0.0,0.11,0.737,128.518,4ec8GWlm1SgbbyoDryEW9g
34vOILAz1FuRDbqIz9K17Q,Thank You,Monik,Thank You,spotify:track:34vOILAz1FuRDbqIz9K17Q,https://i.scdn.co/image/ab67616d0000b273289467cc1cd63030f8d9b214,https://open.spotify.com/track/34vOILAz1FuRDbqIz9K17Q,0.485,0.32,F,-8.442,Major,0.0293,0.623,8.81e-05,0.0758,0.5730000000000001,162.117,34vOILAz1FuRDbqIz9K17Q
70EOI7haPUwLx2gQu6gATR,Who I am,Joanne Grauer,Joanne Grauer,spotify:track:70EOI7haPUwLx2gQu6gATR,https://i.scdn.co/image/ab67616d0000b2735445990b3bebe47c0e06720a,https://open.spotify.com/track/70EOI7haPUwLx2gQu6gATR,0.333,0.749,F♯/G♭,-8.732,Major,0.122,0.811,0.513,0.207,0.356,141.251,70EOI7haPUwLx2gQu6gATR
5P73WXkTKt8lDyMkCLA07F,Cherish,Nina Simone,Silk & Soul (Expanded Edition),spotify:track:5P73WXkTKt8lDyMkCLA07F,https://i.scdn.co/image/ab67616d0000b2730cf2e3d1e85c5bd6d7bedee0,https://open.spotify.com/track/5P73WXkTKt8lDyMkCLA07F,0.393,0.274,G♯/A♭,-12.434,Major,0.0377,0.924,0.0,0.102,0.317,117.128,5P73WXkTKt8lDyMkCLA07F
5YiJN3PMNN3NzgHYlyneq2,Tomorrow Is Gone,Jode,Jode,spotify:track:5YiJN3PMNN3NzgHYlyneq2,https://i.scdn.co/image/ab67616d0000b2736a8461290b367bca85d35fd2,https://open.spotify.com/track/5YiJN3PMNN3NzgHYlyneq2,0.465,0.271,B,-10.496,Minor,0.0304,0.527,0.0557,0.0906,0.485,145.588,5YiJN3PMNN3NzgHYlyneq2
06bgtOwOTqbDLf1n1eqjji,When It's Time to Go,Buddy Fo & His Group,When It's Time to Go,spotify:track:06bgtOwOTqbDLf1n1eqjji,https://i.scdn.co/image/ab67616d0000b273a5261df5cc6117f70ed9b960,https://open.spotify.com/track/06bgtOwOTqbDLf1n1eqjji,0.616,0.229,F,-15.408,Minor,0.0429,0.874,0.00343,0.0982,0.267,81.452,06bgtOwOTqbDLf1n1eqjji
24GKssW95MquMUjP53eozh,Devil In His Heart,The Donays,Goodies Old Is New: Rare Singles From The Golden Age of Rock and Roll,spotify:track:24GKssW95MquMUjP53eozh,https://i.scdn.co/image/ab67616d0000b273730e278155b208cd3aa318c7,https://open.spotify.com/track/24GKssW95MquMUjP53eozh,0.728,0.554,D♯/E♭,-8.704,Major,0.0309,0.6000000000000001,0.000784,0.0653,0.908,114.971,24GKssW95MquMUjP53eozh
0tws70SKfukHKjXpI1RQ14,He Needs Me - Demo,Harry Nilsson,Popeye (Music From The Motion Picture / The Deluxe Edition),spotify:track:0tws70SKfukHKjXpI1RQ14,https://i.scdn.co/image/ab67616d0000b27383b0b2686b5eda2b1de5a70d,https://open.spotify.com/track/0tws70SKfukHKjXpI1RQ14,0.681,0.137,A,-17.252,Major,0.0324,0.973,0.00658,0.0996,0.303,87.756,0tws70SKfukHKjXpI1RQ14
1xcJNBxc4MYFEN6UoE2HUY,Mucho Mungo / Mt. Elga,Harry Nilsson,Pussy Cats,spotify:track:1xcJNBxc4MYFEN6UoE2HUY,https://i.scdn.co/image/ab67616d0000b2738179c68f5e23b541d2ba9bcd,https://open.spotify.com/track/1xcJNBxc4MYFEN6UoE2HUY,0.645,0.523,D,-11.257,Major,0.0306,0.313,0.299,0.0717,0.5740000000000001,115.643,1xcJNBxc4MYFEN6UoE2HUY
5KjRITicSHJM88w3U9LwLM,Me and My Arrow,Harry Nilsson,The Point!,spotify:track:5KjRITicSHJM88w3U9LwLM,https://i.scdn.co/image/ab67616d0000b273e350a5a9542245f27c8445e9,https://open.spotify.com/track/5KjRITicSHJM88w3U9LwLM,0.798,0.511,A♯/B♭,-14.078,Major,0.034,0.658,0.00285,0.142,0.962,91.568,5KjRITicSHJM88w3U9LwLM
5JujMIpKp8zbxEi2mHl29l,Are You Sleeping?,Harry Nilsson,The Point!,spotify:track:5JujMIpKp8zbxEi2mHl29l,https://i.scdn.co/image/ab67616d0000b273e350a5a9542245f27c8445e9,https://open.spotify.com/track/5JujMIpKp8zbxEi2mHl29l,0.447,0.331,B,-14.633,Major,0.0332,0.879,0.00477,0.351,0.749,168.781,5JujMIpKp8zbxEi2mHl29l
7lYuxUk999HgpQXaLjj8f2,Little Pad - Remastered 2001,The Beach Boys,Smiley Smile (Remastered),spotify:track:7lYuxUk999HgpQXaLjj8f2,https://i.scdn.co/image/ab67616d0000b273fb9dac3244b8486758058a81,https://open.spotify.com/track/7lYuxUk999HgpQXaLjj8f2,0.447,0.112,G♯/A♭,-12.925,Minor,0.0307,0.955,0.0448,0.086,0.389,100.028,7lYuxUk999HgpQXaLjj8f2
1JnZJgkTnF4hqj586v12Aa,Is That All There Is?,Peggy Lee,Is That All There Is? (Expanded Edition),spotify:track:1JnZJgkTnF4hqj586v12Aa,https://i.scdn.co/image/ab67616d0000b2733397ec619275426d9aaf9050,https://open.spotify.com/track/1JnZJgkTnF4hqj586v12Aa,0.451,0.148,A♯/B♭,-14.209,Major,0.0339,0.856,2.87e-06,0.169,0.35,108.442,1JnZJgkTnF4hqj586v12Aa
2W9cyvOHeC26mSy96802Kk,Ruler Of My Heart,Irma Thomas,Irma Thomas Collection: 1961-1966,spotify:track:2W9cyvOHeC26mSy96802Kk,https://i.scdn.co/image/ab67616d0000b2735ec4d73b77374513ac895ffd,https://open.spotify.com/track/2W9cyvOHeC26mSy96802Kk,0.612,0.277,A,-14.18,Major,0.0312,0.864,0.285,0.153,0.472,94.155,2W9cyvOHeC26mSy96802Kk
2r2zAXMgVdSA0uxaCKrhMG,L'Amour Joue Au Violon,Jeanette,Ritual Chants,spotify:track:2r2zAXMgVdSA0uxaCKrhMG,https://i.scdn.co/image/ab67616d0000b273aa1b61dc6b3487330328da4c,https://open.spotify.com/track/2r2zAXMgVdSA0uxaCKrhMG,0.731,0.6890000000000001,D,-7.237,Major,0.0266,0.0173,0.24,0.0796,0.648,127.727,2r2zAXMgVdSA0uxaCKrhMG
2mQN86x8WLapGvPdzHGXIm,Is It Me You Really Love,Black Velvet,Loving on the Flipside,spotify:track:2mQN86x8WLapGvPdzHGXIm,https://i.scdn.co/image/ab67616d0000b27336003d42c7a3562a32382604,https://open.spotify.com/track/2mQN86x8WLapGvPdzHGXIm,0.467,0.758,C,-6.475,Major,0.0949,0.0281,0.00275,0.359,0.739,135.847,2mQN86x8WLapGvPdzHGXIm
52Xfwd81ZsBMDTW2S2X3zz,"Que Sera, Sera (Whatever Will Be, Will Be)",Sly & The Family Stone,Fresh,spotify:track:52Xfwd81ZsBMDTW2S2X3zz,https://i.scdn.co/image/ab67616d0000b2730b1804895a3ce499c4212bca,https://open.spotify.com/track/52Xfwd81ZsBMDTW2S2X3zz,0.601,0.238,E,-15.469,Major,0.0432,0.788,2.65e-05,0.119,0.304,124.047,52Xfwd81ZsBMDTW2S2X3zz
1IXa70EPedlpafPL7Ood2z,After Laughter (Comes Tears),Wendy Rene,After Laughter (Comes Tears),spotify:track:1IXa70EPedlpafPL7Ood2z,https://i.scdn.co/image/ab67616d0000b273d25cc6f0755624f4b5be5372,https://open.spotify.com/track/1IXa70EPedlpafPL7Ood2z,0.422,0.171,C♯/D♭,-13.864,Minor,0.0352,0.169,1.68e-05,0.127,0.363,187.002,1IXa70EPedlpafPL7Ood2z
3cWxzr90hIxXwtWxSq6SHk,What About Me,The Exceptional Three,Eccentric Soul: The Way Out Label,spotify:track:3cWxzr90hIxXwtWxSq6SHk,https://i.scdn.co/image/ab67616d0000b273119f2944957e74e2e4fd1cae,https://open.spotify.com/track/3cWxzr90hIxXwtWxSq6SHk,0.468,0.5690000000000001,F,-7.829,Major,0.0351,0.0899,1.1e-06,0.215,0.54,127.152,3cWxzr90hIxXwtWxSq6SHk
6Mx6r8fep8jIv5SseTSZ8r,I Haven't Got Anything Better To Do,Astrud Gilberto,I Haven't Got Anything Better To Do,spotify:track:6Mx6r8fep8jIv5SseTSZ8r,https://i.scdn.co/image/ab67616d0000b273eb8f296fb95217e6473ac5a1,https://open.spotify.com/track/6Mx6r8fep8jIv5SseTSZ8r,0.376,0.235,C,-19.583,Major,0.0343,0.8300000000000001,0.292,0.09,0.266,110.027,6Mx6r8fep8jIv5SseTSZ8r
3sD6BkoEVqfXggW3CwI2Sc,I Depend On You,The Caravelles,You Don't Have To Be A Baby To Cry: The Complete Caravelles 1963-1968,spotify:track:3sD6BkoEVqfXggW3CwI2Sc,https://i.scdn.co/image/ab67616d0000b27303507813d9036c3864af6eed,https://open.spotify.com/track/3sD6BkoEVqfXggW3CwI2Sc,0.668,0.587,D,-7.66,Minor,0.0595,0.888,4.96999999999e-05,0.264,0.6950000000000001,110.203,3sD6BkoEVqfXggW3CwI2Sc
7x4wq1V9AfzzryrsfSOkSH,I Wish I Knew How It Would Feel to Be Free (Live – Montreux Jazz Festival 1976),Nina Simone,I Wish I Knew How It Would Feel to Be Free (Live – Montreux Jazz Festival 1976),spotify:track:7x4wq1V9AfzzryrsfSOkSH,https://i.scdn.co/image/ab67616d0000b273dd6230e4ae98242d6c737b2b,https://open.spotify.com/track/7x4wq1V9AfzzryrsfSOkSH,0.735,0.219,A,-17.407,Major,0.0917,0.903,8.77e-06,0.96,0.243,111.292,7x4wq1V9AfzzryrsfSOkSH
4zISkp38mn5ik41DPk7sBb,If They Left Us Alone Now,Wool,Wool,spotify:track:4zISkp38mn5ik41DPk7sBb,https://i.scdn.co/image/ab67616d0000b2736eff79363125e46c05728ca7,https://open.spotify.com/track/4zISkp38mn5ik41DPk7sBb,0.6990000000000001,0.235,F,-15.597,Minor,0.0365,0.844,0.00128,0.11,0.66,92.264,4zISkp38mn5ik41DPk7sBb
0UnUuHklZaZdF2ljdR3kAF,I Fell In Love One Time - Remastered,Fenton Robinson,Monday Morning Boogie & Blues (Remastered),spotify:track:0UnUuHklZaZdF2ljdR3kAF,https://i.scdn.co/image/ab67616d0000b273fd12cc543ba939a45e8e0eb0,https://open.spotify.com/track/0UnUuHklZaZdF2ljdR3kAF,0.398,0.449,E,-10.513,Minor,0.0792,0.541,0.000474,0.102,0.529,76.227,0UnUuHklZaZdF2ljdR3kAF
2c4zwlPMc5dHS3Kg6oeUjk,Take Yo' Praise,Camille Yarbrough,The Iron Pot Cooker,spotify:track:2c4zwlPMc5dHS3Kg6oeUjk,https://i.scdn.co/image/ab67616d0000b27304f172c4cdedfa6f813b0c57,https://open.spotify.com/track/2c4zwlPMc5dHS3Kg6oeUjk,0.797,0.529,C♯/D♭,-14.489,Major,0.187,0.724,0.00601,0.136,0.527,101.424,2c4zwlPMc5dHS3Kg6oeUjk
2IKI9AJSfHfarD3P5SJttC,"The Sly, Slick & The Wicked",The Lost Generation,Brunswick Top 40 Singles 1966-1975,spotify:track:2IKI9AJSfHfarD3P5SJttC,https://i.scdn.co/image/ab67616d0000b273b0184038b14a8b7a31a4f06d,https://open.spotify.com/track/2IKI9AJSfHfarD3P5SJttC,0.475,0.515,C♯/D♭,-10.022,Major,0.0658,0.317,0.0,0.161,0.6000000000000001,142.899,2IKI9AJSfHfarD3P5SJttC
1dF5iP2sWmmBQr85M1kLm8,Sweet Pea,Altyrone Deno Brown,If You Love Me b/w Sweet Pea,spotify:track:1dF5iP2sWmmBQr85M1kLm8,https://i.scdn.co/image/ab67616d0000b273acf8a4effe78be6fa76aca4c,https://open.spotify.com/track/1dF5iP2sWmmBQr85M1kLm8,0.65,0.344,B,-12.809,Minor,0.0359,0.868,0.148,0.0981,0.686,135.909,1dF5iP2sWmmBQr85M1kLm8
7MdHCzU4IUT75Y6b0OS1dp,Under My Umbrella,Margo Guryan,27 Demos,spotify:track:7MdHCzU4IUT75Y6b0OS1dp,https://i.scdn.co/image/ab67616d0000b273e78b6e22f4dd78f0e58c85e7,https://open.spotify.com/track/7MdHCzU4IUT75Y6b0OS1dp,0.729,0.445,G♯/A♭,-11.325,Major,0.0273,0.6990000000000001,0.00131,0.111,0.624,96.888,7MdHCzU4IUT75Y6b0OS1dp
753pG7rn5FcFcjcn3pot4Z,Why Do I Cry,Margo Guryan,27 Demos,spotify:track:753pG7rn5FcFcjcn3pot4Z,https://i.scdn.co/image/ab67616d0000b273e78b6e22f4dd78f0e58c85e7,https://open.spotify.com/track/753pG7rn5FcFcjcn3pot4Z,0.58,0.316,A,-13.118,Minor,0.0307,0.8250000000000001,0.00584,0.0968,0.559,99.673,753pG7rn5FcFcjcn3pot4Z
1eigPCP2PNnoI7oCrwKnxD,Light of Love,Bonnie Dobson,Good Morning Rain,spotify:track:1eigPCP2PNnoI7oCrwKnxD,https://i.scdn.co/image/ab67616d0000b273f883307aba8c0f4d72c04416,https://open.spotify.com/track/1eigPCP2PNnoI7oCrwKnxD,0.341,0.461,A,-9.183,Major,0.025,0.424,0.0,0.0925,0.454,81.108,1eigPCP2PNnoI7oCrwKnxD
7E4QNSReFS5xSU4ev0qAk7,Saving My Feeling for You,Blossom Dearie,Blossom Dearie Sings (45th Anniversary Edition),spotify:track:7E4QNSReFS5xSU4ev0qAk7,https://i.scdn.co/image/ab67616d0000b273196117d328b70412c84021ea,https://open.spotify.com/track/7E4QNSReFS5xSU4ev0qAk7,0.418,0.352,G♯/A♭,-11.613,Major,0.0525,0.756,0.0009559999999999,0.134,0.403,206.23,7E4QNSReFS5xSU4ev0qAk7
3Eaj6hXJ8EA0kDD5vELuZ1,Where Is Love?,The Equatics,Doin It!!!!,spotify:track:3Eaj6hXJ8EA0kDD5vELuZ1,https://i.scdn.co/image/ab67616d0000b273387673092c6e5a8ab24b76f7,https://open.spotify.com/track/3Eaj6hXJ8EA0kDD5vELuZ1,0.418,0.527,C,-9.589,Major,0.0416,0.0955,0.471,0.595,0.384,130.325,3Eaj6hXJ8EA0kDD5vELuZ1
6mxMnaQhdMaWp0XRAyjjfA,Silly Games,Janet Kay,The Definitive Hits Collection (1977-1985),spotify:track:6mxMnaQhdMaWp0XRAyjjfA,https://i.scdn.co/image/ab67616d0000b2734e1debc97615ea4f1b9fd3bf,https://open.spotify.com/track/6mxMnaQhdMaWp0XRAyjjfA,0.8310000000000001,0.418,F,-14.083,Major,0.0733,0.221,0.00209,0.0694,0.684,120.994,6mxMnaQhdMaWp0XRAyjjfA
01mvEtGoH8FZ9C1n4NICil,Grieve Not the Spirit,AIR,In Need of You featuring Googie,spotify:track:01mvEtGoH8FZ9C1n4NICil,https://i.scdn.co/image/ab67616d0000b27368cd09f7b946a4c41a6d2646,https://open.spotify.com/track/01mvEtGoH8FZ9C1n4NICil,0.741,0.506,G♯/A♭,-12.377,Major,0.0779,0.773,0.0538,0.146,0.721,93.206,01mvEtGoH8FZ9C1n4NICil
2KmVDJa2NW46WIvXGn9otN,If It Were Left Up to Me - Single Master,Sly & The Family Stone,Fresh,spotify:track:2KmVDJa2NW46WIvXGn9otN,https://i.scdn.co/image/ab67616d0000b2730b1804895a3ce499c4212bca,https://open.spotify.com/track/2KmVDJa2NW46WIvXGn9otN,0.881,0.418,F,-11.566,Major,0.0458,0.224,0.653,0.0942,0.714,107.496,2KmVDJa2NW46WIvXGn9otN
3WVZ2pRenWqfKdRw3c350C,This Is Love,Sly & The Family Stone,Small Talk,spotify:track:3WVZ2pRenWqfKdRw3c350C,https://i.scdn.co/image/ab67616d0000b273c7f4b5eff1d481438b6b289c,https://open.spotify.com/track/3WVZ2pRenWqfKdRw3c350C,0.5710000000000001,0.308,C,-9.919,Major,0.0262,0.625,0.0195,0.177,0.928,166.277,3WVZ2pRenWqfKdRw3c350C
4E2ISh5C5J4gD2rIaT7OcK,No One Can Hear You Cry,Susan Christie,Paint a Lady,spotify:track:4E2ISh5C5J4gD2rIaT7OcK,https://i.scdn.co/image/ab67616d0000b2739b0a02a3b1d728beaa497b08,https://open.spotify.com/track/4E2ISh5C5J4gD2rIaT7OcK,0.483,0.223,G♯/A♭,-15.68,Minor,0.0291,0.746,0.5740000000000001,0.0985,0.266,96.613,4E2ISh5C5J4gD2rIaT7OcK
5nzJ8294oJFXNMNs1mLIRU,Express Your Love,Sweet & Innocent,Cry Love,spotify:track:5nzJ8294oJFXNMNs1mLIRU,https://i.scdn.co/image/ab67616d0000b273a8fe694ed42e8a9659a2844e,https://open.spotify.com/track/5nzJ8294oJFXNMNs1mLIRU,0.364,0.419,E,-10.275,Major,0.0365,0.927,0.111,0.185,0.606,129.818,5nzJ8294oJFXNMNs1mLIRU
0ynmh87cJ8HvBWFOooBrz6,Don't Be Cruel,Billy Swan,I Can Help,spotify:track:0ynmh87cJ8HvBWFOooBrz6,https://i.scdn.co/image/ab67616d0000b273b0175ab562a07083d7f5cd5b,https://open.spotify.com/track/0ynmh87cJ8HvBWFOooBrz6,0.612,0.309,E,-12.312,Major,0.0374,0.6890000000000001,0.00342,0.0991,0.312,118.129,0ynmh87cJ8HvBWFOooBrz6
56uv1j698yok2WyIkLQDfB,Don't Wake Me Up,Jack & The Mods,Don't Wake Me Up,spotify:track:56uv1j698yok2WyIkLQDfB,https://i.scdn.co/image/ab67616d0000b273b41d7a68644ea6d8f472c7c7,https://open.spotify.com/track/56uv1j698yok2WyIkLQDfB,0.538,0.497,D,-7.745,Major,0.0349,0.0515,0.0008539999999999,0.127,0.422,134.021,56uv1j698yok2WyIkLQDfB
1piyCUCyKo0WqV2pBRpD43,You Are Giving Me Some Other Love,Penny & The Quarters,Penny & the Quarters EP,spotify:track:1piyCUCyKo0WqV2pBRpD43,https://i.scdn.co/image/ab67616d0000b27351f481ff4bf28195c34a2487,https://open.spotify.com/track/1piyCUCyKo0WqV2pBRpD43,0.537,0.0824,F,-10.732,Minor,0.0298,0.988,1.13e-05,0.5750000000000001,0.181,96.927,1piyCUCyKo0WqV2pBRpD43
1gKsgZI92xbjFKGDyLpTJW,Girl from the Mountain,Ghetto Brothers,Power Fuerza,spotify:track:1gKsgZI92xbjFKGDyLpTJW,https://i.scdn.co/image/ab67616d0000b273d3c9bdf228ca6b5198bbe85e,https://open.spotify.com/track/1gKsgZI92xbjFKGDyLpTJW,0.461,0.679,A♯/B♭,-7.913,Minor,0.0323,0.358,0.000479,0.0682,0.892,122.594,1gKsgZI92xbjFKGDyLpTJW
5QfsQPEqDbtZtU2zZkJ1kR,Did She Mention My Name,Dr. John,The Essential Recordings,spotify:track:5QfsQPEqDbtZtU2zZkJ1kR,https://i.scdn.co/image/ab67616d0000b273618e55d526c9aa656513ff0e,https://open.spotify.com/track/5QfsQPEqDbtZtU2zZkJ1kR,0.473,0.353,G,-13.22,Major,0.0397,0.951,0.00535,0.167,0.851,200.167,5QfsQPEqDbtZtU2zZkJ1kR
0orZFSGVeJ0ey6O6s2f20n,A Certain Smile,Astrud Gilberto,"A Certain Smile, A Certain Sadness (Expanded Edition)",spotify:track:0orZFSGVeJ0ey6O6s2f20n,https://i.scdn.co/image/ab67616d0000b27318e57f9df873e08b993a4ea8,https://open.spotify.com/track/0orZFSGVeJ0ey6O6s2f20n,0.388,0.293,A♯/B♭,-17.859,Major,0.0492,0.651,0.0,0.213,0.478,82.696,0orZFSGVeJ0ey6O6s2f20n
7tElOwaw2ONWiPCW8bDErC,Pretty Little Baby - Single Version (Mono),Marvin Gaye,The Master 1961-1984,spotify:track:7tElOwaw2ONWiPCW8bDErC,https://i.scdn.co/image/ab67616d0000b273554460de620d4e9ccda4f552,https://open.spotify.com/track/7tElOwaw2ONWiPCW8bDErC,0.593,0.549,G,-6.591,Minor,0.0279,0.8,0.0,0.118,0.865,109.465,7tElOwaw2ONWiPCW8bDErC
1yO5o9ugq4hreD41h91R6U,Don't Cry Little Tree,Trevor Dandy,Don't Cry Little Tree,spotify:track:1yO5o9ugq4hreD41h91R6U,https://i.scdn.co/image/ab67616d0000b273ed15e37d8892566a3efcb992,https://open.spotify.com/track/1yO5o9ugq4hreD41h91R6U,0.337,0.226,A♯/B♭,-14.848,Major,0.0486,0.961,0.943,0.105,0.291,73.661,1yO5o9ugq4hreD41h91R6U
