id,name,artist,album,uri,image_url,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_id
17m5LgM2qyo8ZPsZ9pY8OQ,Blue Water,Sally Oldfield,Mirrors: The Bronze Anthology,spotify:track:17m5LgM2qyo8ZPsZ9pY8OQ,https://i.scdn.co/image/ab67616d0000b273efa7973d24edbb4d5567245d,https://open.spotify.com/track/17m5LgM2qyo8ZPsZ9pY8OQ,0.558,0.5,G,-8.717,Minor,0.0282,0.521,0.000358,0.0659,0.466,120.214,17m5LgM2qyo8ZPsZ9pY8OQ
4ec8GWlm1SgbbyoDryEW9g,I Want To Lay With You,Shira Small,The Line Of Time And The Plane Of Now,spotify:track:4ec8GWlm1SgbbyoDryEW9g,https://i.scdn.co/image/ab67616d0000b273d7472cb2c5c09b780c23bf16,https://open.spotify.com/track/4ec8GWlm1SgbbyoDryEW9g,0.833,0.429,A,-12.304,Minor,0.0385,0.662,0.0,0.11,0.737,128.518,4ec8GWlm1SgbbyoDryEW9g
5i8wnB4FcgLoxJ1TR6dSSb,Leisure Suit Preben,Todd Terje,It's Album Time,spotify:track:5i8wnB4FcgLoxJ1TR6dSSb,https://i.scdn.co/image/ab67616d0000b273ef57e636952c4099cf13c6b5,https://open.spotify.com/track/5i8wnB4FcgLoxJ1TR6dSSb,0.438,0.707,D,-8.959,Major,0.0378,0.157,0.8320000000000001,0.0843,0.777,109.981,5i8wnB4FcgLoxJ1TR6dSSb
7FhHFW6ghJbgLFYK7YpHaJ,Wind,John Carroll Kirby,My Garden,spotify:track:7FhHFW6ghJbgLFYK7YpHaJ,https://i.scdn.co/image/ab67616d0000b273ae75e6db7b0b71214899d27f,https://open.spotify.com/track/7FhHFW6ghJbgLFYK7YpHaJ,0.511,0.248,F♯/G♭,-10.496,Major,0.0378,0.551,0.917,0.157,0.16,115.003,7FhHFW6ghJbgLFYK7YpHaJ
5kPp1bLqpCNDokPBDsDWhN,Inside Out,Jesse Rae,Jesse Rae The Best'o,spotify:track:5kPp1bLqpCNDokPBDsDWhN,https://i.scdn.co/image/ab67616d0000b27328e2635f7f3a08d5d52c44d1,https://open.spotify.com/track/5kPp1bLqpCNDokPBDsDWhN,0.613,0.834,C♯/D♭,-6.874,Major,0.0404,0.106,4.35e-05,0.105,0.643,118.583,5kPp1bLqpCNDokPBDsDWhN
5lRJbMSRYkWh8BVTYGEuj1,The Lamb Ran Away with the Crown - Remastered,Judee Sill,Judee Sill,spotify:track:5lRJbMSRYkWh8BVTYGEuj1,https://i.scdn.co/image/ab67616d0000b273701ae899c4b514abf4b15e68,https://open.spotify.com/track/5lRJbMSRYkWh8BVTYGEuj1,0.341,0.227,A,-14.256,Major,0.0374,0.678,1.27e-06,0.0769,0.375,120.487,5lRJbMSRYkWh8BVTYGEuj1
5XnMdpKWBC9LuB5qVzpj8K,The Wind,Nolan Strong and The Diabl...,For Old Times Sake - The Complete Early Sides,spotify:track:5XnMdpKWBC9LuB5qVzpj8K,https://i.scdn.co/image/1128f3593b7582932dbd5b72a1826d1596bd733f,https://open.spotify.com/track/5XnMdpKWBC9LuB5qVzpj8K,0.325,0.185,A♯/B♭,-15.162,Major,0.0345,0.972,0.2,0.159,0.231,112.764,5XnMdpKWBC9LuB5qVzpj8K
1yK9LISg5uBOOW5bT2Wm0i,Try Sleeping with a Broken Heart,Alicia Keys,The Element Of Freedom,spotify:track:1yK9LISg5uBOOW5bT2Wm0i,https://i.scdn.co/image/ab67616d0000b273fe6a98e875958c7d7080584e,https://open.spotify.com/track/1yK9LISg5uBOOW5bT2Wm0i,0.496,0.8210000000000001,F,-5.155,Major,0.112,0.158,0.246,0.13,0.549,110.977,1yK9LISg5uBOOW5bT2Wm0i
4YDl2Oxc1mVRnZsZAbNzI0,You got time and I got money,Smerz,You got time and I got money,spotify:track:4YDl2Oxc1mVRnZsZAbNzI0,https://i.scdn.co/image/ab67616d0000b2733642c8a4afaee4d856a41792,https://open.spotify.com/track/4YDl2Oxc1mVRnZsZAbNzI0,0.653,0.419,G,-8.272,Major,0.0335,0.335,0.224,0.0999,0.15,131.012,4YDl2Oxc1mVRnZsZAbNzI0
4R0hTebAIu3h5TzUcYuWUm,Sans vous aimer,Juliette Gréco,The Very Best of Juliette Greco,spotify:track:4R0hTebAIu3h5TzUcYuWUm,https://i.scdn.co/image/ab67616d0000b273873ddedf2c95e4a539fe21c6,https://open.spotify.com/track/4R0hTebAIu3h5TzUcYuWUm,0.299,0.124,F,-17.967,Minor,0.0399,0.798,4.84e-05,0.376,0.154,137.153,4R0hTebAIu3h5TzUcYuWUm
