id,name,artist,album,uri,image_url,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_id
47s5hKfwGXliAAB8wKMiNo,When I'm in Your Arms,Cleo Sol,Rose in the Dark,spotify:track:47s5hKfwGXliAAB8wKMiNo,https://i.scdn.co/image/ab67616d0000b2734090a5cf4a046710a3e5f577,https://open.spotify.com/track/47s5hKfwGXliAAB8wKMiNo,0.596,0.462,C,-10.605,Major,0.0589,0.476,0.0581,0.112,0.655,173.866,47s5hKfwGXliAAB8wKMiNo
77lKjGkhvWuimTzQxA4STK,Lovers Rock,Sade,Lovers Rock,spotify:track:77lKjGkhvWuimTzQxA4STK,https://i.scdn.co/image/ab67616d0000b27320fc6951e4d293707de2434c,https://open.spotify.com/track/77lKjGkhvWuimTzQxA4STK,0.744,0.447,D,-11.735,Major,0.0437,0.0194,0.00103,0.0771,0.78,145.855,77lKjGkhvWuimTzQxA4STK
5QrhTxjhRFYqYjQeT0tqEa,Envious,SAULT,11,spotify:track:5QrhTxjhRFYqYjQeT0tqEa,https://i.scdn.co/image/ab67616d0000b2736819af187b4218acab8695aa,https://open.spotify.com/track/5QrhTxjhRFYqYjQeT0tqEa,0.803,0.224,E,-10.284,Minor,0.0634,0.635,0.836,0.103,0.84,87.299,5QrhTxjhRFYqYjQeT0tqEa
76oWruR7pYy8Fjvgn4KBUA,Both Sides Of The Moon,Celeste,Not Your Muse (Deluxe),spotify:track:76oWruR7pYy8Fjvgn4KBUA,https://i.scdn.co/image/ab67616d0000b273a724f0a2c23fdc0ef98201b8,https://open.spotify.com/track/76oWruR7pYy8Fjvgn4KBUA,0.636,0.149,C,-11.701,Minor,0.0719,0.836,0.00504,0.0939,0.251,117.52,76oWruR7pYy8Fjvgn4KBUA
15MUF6KnRsUQcvD43tZUVx,Silhouettes,loopgarden,Noiris,spotify:track:15MUF6KnRsUQcvD43tZUVx,https://i.scdn.co/image/ab67616d0000b2731124073a03dd33436ceb26a9,https://open.spotify.com/track/15MUF6KnRsUQcvD43tZUVx,0.331,0.257,C♯/D♭,-13.707,Minor,0.0301,0.936,0.882,0.397,0.111,110.393,15MUF6KnRsUQcvD43tZUVx
6nrNGuWz0ZsV5Xaxaazxgm,Near My Heart,Koshun Nakao,Near My Heart,spotify:track:6nrNGuWz0ZsV5Xaxaazxgm,https://i.scdn.co/image/ab67616d0000b2733ad1937434fcb9d12e74bba3,https://open.spotify.com/track/6nrNGuWz0ZsV5Xaxaazxgm,0.23,0.0857,D♯/E♭,-23.394,Major,0.0332,0.984,0.956,0.107,0.196,87.102,6nrNGuWz0ZsV5Xaxaazxgm
22QiTJqDn1BIRSh4mkNJ5w,Cherish the Day,Sade,Love Deluxe,spotify:track:22QiTJqDn1BIRSh4mkNJ5w,https://i.scdn.co/image/ab67616d0000b273ee65bbd54f993b5f01d5c511,https://open.spotify.com/track/22QiTJqDn1BIRSh4mkNJ5w,0.68,0.389,G♯/A♭,-13.239,Major,0.0545,0.0121,0.0834,0.105,0.68,80.145,22QiTJqDn1BIRSh4mkNJ5w
2re7ptkZok02FFUKEhaj6C,Saturn in Return,Mad Keys,Currents,spotify:track:2re7ptkZok02FFUKEhaj6C,https://i.scdn.co/image/ab67616d0000b273d006eca623a96454c0e9f991,https://open.spotify.com/track/2re7ptkZok02FFUKEhaj6C,0.396,0.0605,D,-26.962,Major,0.0319,0.994,0.875,0.107,0.27,101.764,2re7ptkZok02FFUKEhaj6C
4QNQYh76GRt6L3asf6LZlo,Enchanted Mirror,Luiz Bonfá,Introspection,spotify:track:4QNQYh76GRt6L3asf6LZlo,https://i.scdn.co/image/ab67616d0000b2733e675545232f670a2798b7ad,https://open.spotify.com/track/4QNQYh76GRt6L3asf6LZlo,0.37,0.207,G,-19.069,Major,0.0302,0.866,0.875,0.117,0.195,98.733,4QNQYh76GRt6L3asf6LZlo
7bFI1ywG0o2EtgGGmC9dHW,Butter,Apollo Brown,This Must Be the Place,spotify:track:7bFI1ywG0o2EtgGGmC9dHW,https://i.scdn.co/image/ab67616d0000b2731112998595e6d94f6825f538,https://open.spotify.com/track/7bFI1ywG0o2EtgGGmC9dHW,0.553,0.664,E,-10.749,Minor,0.0414,0.0671,0.911,0.145,0.717,79.995,7bFI1ywG0o2EtgGGmC9dHW
